review,category
sangat baik kurang jadwal uji masuk dalam aplikasi,2
untuk widget nya di buat dark theme juga dong,2
update min klo bisa dibikib kaya sosmed khusus mahasiswa amikom biar ada komunikasi dengan dosen pembimbingdosen mata kuliah,3
untuk developer moga depan bisa disetting untuk zona waktu wib wita wit sukses selalu,2
okee lah,1
sudah bagus namun alangkah baik jika di dalam aplikasi sebut juga ada materi kumpul tugas di situ dan fitur fitur lain waskita bisa akses di situ biar tidak bolak balik terimakasih,2
kenapa app ini suka eror,4
good job sangat bantu,1
untuk jadwal kelas yang ubah ubah di aplikasi tolong agar bisa sesuai jadwal yang ubah sebut lain sudah bagus terus tingkat lagi,5
nice,1
tolong baik lg server selalu eror padahal sudah coba reinstall tp tetep gabisa,4
makin maju,3
mantab,3
sangat bantu dalam laku aktivitas kampus amikom,1
punya saya kok masih semester yang kemarin ya,6
mantep,3
mantap,3
kok app ga bisa login ya kak,5
baik link room kelas di cantum di aplikasi ini juga supaya nggak terlalu banyak download apk lain,5
jos,3
kadang bisa buka kadang enggak,6
aplikasi gak ada saing buat kuliah lengkap bet banding kampus lain,1
good aps,1
kak kenapa saya tidak bisa login,6
sangat bantu,1
sangat bantu kuliah,1
keren,2
mau relogin gagal terus,4
guna buat mahasiswa amikom,1
nice apk,2
mantap,2
good,1
alhamdulillah,1
mantap,3
tolong woi ga bisa di download ini ahh,6
fitur yang bagus moga ada update lebih banyak lagi dan baik bug,2
yg ngasi reting ngaco nih aplikasi banyak kurang nya massa ddi kasih rating,6
udah lumayan bagus ui nya juga lebih mudah cuman buat ux kadang susah juga pas presensi kalau buat yg kamera kurang bagus sama aja si harus depan dan bikin an juga apalagi yg males ngetik kode presensi nya mungkin bisa di bikin versi ios nya juga agar tidak ada beda antara kitanulasan lengkap,2
singkat padat jelas sangat fungsi,1
mantapp,3
kenapa saya tidaak bisa lihat khs saya,5
bagus mudah dan simpel,1
kalau bisa di kasih jadwal buat mahasiswa yang ulang karena mahasiswa yang ulang jadwal pilih sendiri dan di dashboard jadwal tidak muncul,2
kenapa sering gak bisa login min,4
